,addressid,stateID,bedrooms,bathrooms,propertytypeID,price,heatingtypeID,forsale,appliancessincluded,yr_built,ownerid,
17,2517,32,4,1,4,485000,1,FALSE,TRUE,1916,417,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2517,417,32,4,1,4,485000,1,FALSE,TRUE,1916);"
18,3232,32,2,1,1,189000,4,TRUE,FALSE,1921,340,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3232,340,32,2,1,1,189000,4,TRUE,FALSE,1921);"
19,88,32,3,1,4,230000,3,TRUE,TRUE,1969,667,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (88,667,32,3,1,4,230000,3,TRUE,TRUE,1969);"
20,1861,32,4,1.75,2,385000,1,TRUE,FALSE,1947,840,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1861,840,32,4,1.75,2,385000,1,TRUE,FALSE,1947);"
21,1909,32,3,2.75,1,2000000,2,FALSE,TRUE,1968,193,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1909,193,32,3,2.75,1,2000000,2,FALSE,TRUE,1968);"
22,3572,32,5,2.5,3,285000,4,FALSE,FALSE,1995,66,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3572,66,32,5,2.5,3,285000,4,FALSE,FALSE,1995);"
23,166,32,2,1.5,4,252700,2,TRUE,TRUE,1985,461,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (166,461,32,2,1.5,4,252700,2,TRUE,TRUE,1985);"
24,1585,32,3,2.25,4,329000,1,TRUE,TRUE,1985,302,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1585,302,32,3,2.25,4,329000,1,TRUE,TRUE,1985);"
25,2446,32,3,2,3,233000,3,FALSE,TRUE,1941,896,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2446,896,32,3,2,3,233000,3,FALSE,TRUE,1941);"
26,4339,32,3,1.75,1,937000,2,FALSE,TRUE,1915,158,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4339,158,32,3,1.75,1,937000,2,FALSE,TRUE,1915);"
27,1908,32,3,1,2,667000,1,TRUE,TRUE,1909,772,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1908,772,32,3,1,2,667000,1,TRUE,TRUE,1909);"
28,3985,32,3,1.75,1,438000,3,FALSE,FALSE,1948,789,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3985,789,32,3,1.75,1,438000,3,FALSE,FALSE,1948);"
29,602,32,4,2.5,1,719000,4,TRUE,TRUE,2005,207,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (602,207,32,4,2.5,1,719000,4,TRUE,TRUE,2005);"
30,2830,32,3,2.5,1,580500,4,FALSE,TRUE,2003,110,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2830,110,32,3,2.5,1,580500,4,FALSE,TRUE,2003);"
31,4676,32,2,1.5,4,280000,3,TRUE,TRUE,2005,861,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4676,861,32,2,1.5,4,280000,3,TRUE,TRUE,2005);"
32,255,32,4,1.75,1,687500,1,FALSE,TRUE,1929,358,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (255,358,32,4,1.75,1,687500,1,FALSE,TRUE,1929);"
33,1914,32,3,1,1,535000,3,TRUE,TRUE,1929,771,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1914,771,32,3,1,1,535000,3,TRUE,TRUE,1929);"
34,3934,32,4,2.75,4,322500,4,TRUE,TRUE,1981,145,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3934,145,32,4,2.75,4,322500,4,TRUE,TRUE,1981);"
35,766,32,3,2.5,3,696000,2,TRUE,FALSE,1930,627,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (766,627,32,3,2.5,3,696000,2,TRUE,FALSE,1930);"
36,1384,32,4,1,3,550000,4,FALSE,FALSE,1933,910,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1384,910,32,4,1,3,550000,4,FALSE,FALSE,1933);"
37,818,32,4,2,4,640000,4,FALSE,FALSE,1904,354,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (818,354,32,4,2,4,640000,4,FALSE,FALSE,1904);"
38,4317,32,4,1,4,240000,1,FALSE,FALSE,1969,556,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4317,556,32,4,1,4,240000,1,FALSE,FALSE,1969);"
39,1434,32,4,2.5,3,605000,2,FALSE,TRUE,1996,90,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1434,90,32,4,2.5,3,605000,2,FALSE,TRUE,1996);"
40,1815,32,4,2.5,3,625000,2,TRUE,FALSE,2000,111,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1815,111,32,4,2.5,3,625000,2,TRUE,FALSE,2000);"
41,280,32,4,2.25,3,775000,2,TRUE,TRUE,1984,745,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (280,745,32,4,2.25,3,775000,2,TRUE,TRUE,1984);"
42,3978,32,5,2.75,1,861990,3,FALSE,TRUE,2014,840,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3978,840,32,5,2.75,1,861990,3,FALSE,TRUE,2014);"
43,3921,32,3,1,4,685000,3,FALSE,TRUE,1922,257,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3921,257,32,3,1,4,685000,3,FALSE,TRUE,1922);"
44,971,32,3,1,2,309000,2,TRUE,FALSE,1959,298,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (971,298,32,3,1,2,309000,2,TRUE,FALSE,1959);"
45,2472,32,3,2.5,3,488000,1,FALSE,TRUE,2003,181,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2472,181,32,3,2.5,3,488000,1,FALSE,TRUE,2003);"
46,4247,32,3,1,4,210490,2,TRUE,TRUE,1966,401,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4247,401,32,3,1,4,210490,2,TRUE,TRUE,1966);"
47,2060,32,4,2.5,1,785000,3,TRUE,TRUE,1981,202,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2060,202,32,4,2.5,1,785000,3,TRUE,TRUE,1981);"
48,1550,32,3,1.75,3,450000,2,TRUE,FALSE,1953,668,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1550,668,32,3,1.75,3,450000,2,TRUE,FALSE,1953);"
49,2592,32,3,2.5,1,1350000,3,TRUE,FALSE,1953,94,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2592,94,32,3,2.5,1,1350000,3,TRUE,FALSE,1953);"
50,461,32,3,1,2,228000,3,TRUE,TRUE,1955,51,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (461,51,32,3,1,2,228000,3,TRUE,TRUE,1955);"
51,1028,32,5,2.5,3,345000,4,FALSE,FALSE,1966,570,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1028,570,32,5,2.5,3,345000,4,FALSE,FALSE,1966);"
52,572,32,3,1.75,1,600000,3,TRUE,FALSE,1950,416,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (572,416,32,3,1.75,1,600000,3,TRUE,FALSE,1950);"
53,4896,32,2,1.75,4,585000,1,FALSE,TRUE,1981,605,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4896,605,32,2,1.75,4,585000,1,FALSE,TRUE,1981);"
54,4339,32,5,2.25,4,920000,1,TRUE,TRUE,1927,118,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4339,118,32,5,2.25,4,920000,1,TRUE,TRUE,1927);"
55,1855,32,4,2.5,3,885000,2,TRUE,TRUE,1995,439,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1855,439,32,4,2.5,3,885000,2,TRUE,TRUE,1995);"
56,3415,32,4,2.5,4,292500,1,TRUE,FALSE,2008,461,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3415,461,32,4,2.5,4,292500,1,TRUE,FALSE,2008);"
57,1822,32,3,2.5,4,301000,2,TRUE,FALSE,2003,870,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1822,870,32,3,2.5,4,301000,2,TRUE,FALSE,2003);"
58,1696,32,5,3.25,1,951000,2,TRUE,TRUE,1968,377,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1696,377,32,5,3.25,1,951000,2,TRUE,TRUE,1968);"
59,2747,32,4,3,2,430000,2,TRUE,FALSE,1991,955,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2747,955,32,4,3,2,430000,2,TRUE,FALSE,1991);"
60,214,32,3,2.25,1,650000,3,FALSE,FALSE,1959,750,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (214,750,32,3,2.25,1,650000,3,FALSE,FALSE,1959);"
61,300,32,3,1.75,2,289000,2,TRUE,FALSE,1954,549,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (300,549,32,3,1.75,2,289000,2,TRUE,FALSE,1954);"
62,753,32,3,1.75,2,505000,4,TRUE,TRUE,1973,751,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (753,751,32,3,1.75,2,505000,4,TRUE,TRUE,1973);"
63,2729,32,3,1.75,1,549000,2,TRUE,TRUE,2014,523,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2729,523,32,3,1.75,1,549000,2,TRUE,TRUE,2014);"
64,3998,32,3,2.25,2,425000,1,FALSE,FALSE,1979,791,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3998,791,32,3,2.25,2,425000,1,FALSE,FALSE,1979);"
65,3995,32,3,2.75,4,317625,3,TRUE,FALSE,1925,561,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3995,561,32,3,2.75,4,317625,3,TRUE,FALSE,1925);"
66,1492,32,4,2.5,4,975000,4,FALSE,TRUE,1989,384,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1492,384,32,4,2.5,4,975000,4,FALSE,TRUE,1989);"
67,3047,32,4,2.5,4,287000,1,FALSE,TRUE,2005,99,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3047,99,32,4,2.5,4,287000,1,FALSE,TRUE,2005);"
68,2067,32,3,1,2,204000,2,FALSE,FALSE,1968,441,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2067,441,32,3,1,2,204000,2,FALSE,FALSE,1968);"
69,848,32,5,2.25,2,1325000,2,FALSE,FALSE,1965,692,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (848,692,32,5,2.25,2,1325000,2,FALSE,FALSE,1965);"
70,1033,32,5,3.25,1,1040000,1,TRUE,TRUE,1973,824,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1033,824,32,5,3.25,1,1040000,1,TRUE,TRUE,1973);"
71,364,32,3,2,3,325000,4,TRUE,TRUE,1972,746,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (364,746,32,3,2,3,325000,4,TRUE,TRUE,1972);"
72,3062,32,4,2,4,571000,3,FALSE,TRUE,1916,602,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3062,602,32,4,2,4,571000,3,FALSE,TRUE,1916);"
73,2253,32,4,2.5,1,360000,2,FALSE,TRUE,2005,615,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2253,615,32,4,2.5,1,360000,2,FALSE,TRUE,2005);"
74,3152,32,3,1.75,4,349000,3,FALSE,FALSE,1965,920,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3152,920,32,3,1.75,4,349000,3,FALSE,FALSE,1965);"
75,3600,32,4,4,3,832500,4,TRUE,FALSE,1986,317,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3600,317,32,4,4,3,832500,4,TRUE,FALSE,1986);"
76,3040,32,4,1.75,2,380000,3,TRUE,FALSE,1956,724,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3040,724,32,4,1.75,2,380000,3,TRUE,FALSE,1956);"
77,3576,32,3,1,2,480000,4,FALSE,FALSE,1941,756,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3576,756,32,3,1,2,480000,4,FALSE,FALSE,1941);"
78,756,32,3,1,1,410000,1,TRUE,FALSE,1956,839,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (756,839,32,3,1,1,410000,1,TRUE,FALSE,1956);"
79,4251,32,4,2.5,4,720000,4,TRUE,TRUE,2002,294,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4251,294,32,4,2.5,4,720000,4,TRUE,TRUE,2002);"
80,3771,32,3,2.5,4,390000,3,TRUE,FALSE,2003,341,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3771,341,32,3,2.5,4,390000,3,TRUE,FALSE,2003);"
81,1445,32,4,2.5,4,360000,3,TRUE,TRUE,1992,157,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1445,157,32,4,2.5,4,360000,3,TRUE,TRUE,1992);"
82,1455,32,2,1,4,355000,3,FALSE,FALSE,1948,82,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1455,82,32,2,1,4,355000,3,FALSE,FALSE,1948);"
83,3711,32,3,1.5,3,356000,1,TRUE,TRUE,1964,227,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3711,227,32,3,1.5,3,356000,1,TRUE,TRUE,1964);"
84,1447,32,3,1,2,315000,3,TRUE,TRUE,1952,150,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1447,150,32,3,1,2,315000,3,TRUE,TRUE,1952);"
85,683,32,3,1.5,3,940000,2,TRUE,FALSE,1925,433,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (683,433,32,3,1.5,3,940000,2,TRUE,FALSE,1925);"
86,863,32,5,2.25,2,305000,4,TRUE,TRUE,1961,897,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (863,897,32,5,2.25,2,305000,4,TRUE,TRUE,1961);"
87,2515,32,3,3.25,1,461000,3,TRUE,FALSE,2006,753,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2515,753,32,3,3.25,1,461000,3,TRUE,FALSE,2006);"
88,4873,32,2,2.25,1,215000,4,FALSE,FALSE,1979,253,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4873,253,32,2,2.25,1,215000,4,FALSE,FALSE,1979);"
89,2171,32,2,1.75,3,335000,3,TRUE,TRUE,2006,912,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2171,912,32,2,1.75,3,335000,3,TRUE,TRUE,2006);"
90,4141,32,4,2.5,2,243500,1,TRUE,TRUE,1988,765,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4141,765,32,4,2.5,2,243500,1,TRUE,TRUE,1988);"
91,3398,32,5,2.75,3,1099880,1,TRUE,TRUE,2001,452,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3398,452,32,5,2.75,3,1099880,1,TRUE,TRUE,2001);"
92,3571,32,3,1,3,153000,4,FALSE,TRUE,1962,529,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3571,529,32,3,1,3,153000,4,FALSE,TRUE,1962);"
93,2853,32,3,1.5,2,430000,1,FALSE,TRUE,1939,50,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2853,50,32,3,1.5,2,430000,1,FALSE,TRUE,1939);"
94,4758,32,3,1.5,1,700000,1,FALSE,TRUE,1939,969,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4758,969,32,3,1.5,1,700000,1,FALSE,TRUE,1939);"
95,772,32,4,2.5,4,905000,4,TRUE,FALSE,1946,395,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (772,395,32,4,2.5,4,905000,4,TRUE,FALSE,1946);"
96,1410,32,3,1.75,3,247500,2,TRUE,FALSE,1967,871,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1410,871,32,3,1.75,3,247500,2,TRUE,FALSE,1967);"
97,3544,32,4,1.5,2,199000,1,FALSE,FALSE,1975,927,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3544,927,32,4,1.5,2,199000,1,FALSE,FALSE,1975);"
98,1222,32,3,1.75,1,314000,3,TRUE,FALSE,1980,482,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1222,482,32,3,1.75,1,314000,3,TRUE,FALSE,1980);"
99,1444,32,3,2.5,4,437500,1,FALSE,FALSE,1992,768,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1444,768,32,3,2.5,4,437500,1,FALSE,FALSE,1992);"
100,44,32,3,2.5,2,850830,4,FALSE,TRUE,1910,29,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (44,29,32,3,2.5,2,850830,4,FALSE,TRUE,1910);"
101,609,32,3,2,2,555000,3,FALSE,FALSE,1929,478,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (609,478,32,3,2,2,555000,3,FALSE,FALSE,1929);"
